"story","storySummary","bug","bugSummary"
"NAP-7666","Additional Triggers for BSDS to NAO Bundles & as a Standalone","NAP-9032","NAP-7666 Additional Triggers for BSDS to NAO Bundles and as a standalone-Missing path for Required Brokerage Services Disclosure form &LaserApp"
"NAP-7666","Additional Triggers for BSDS to NAO Bundles & as a Standalone","NAP-8639","BSDS not showing in UNIO or LaserApp for Path 457 → non advisory → direct"
"NAP-8627","Update :: Form Audit :: IRS 5304 :: NAP-6607","NAP-8937","Form Audit :: IRS Simple Form 5304  - Error Code will not clear"
"NAP-8627","Update :: Form Audit :: IRS 5304 :: NAP-6607","NAP-8161","nap-6607: Validations for IRS 5304 form ALL Broker Dealers: No validations for from 5304"
"NAP-8137","Data Sync :: Identify data required in multiple forms in a Bundle","NAP-9201","NAP-8137 Data Sync:: Identify data required in multiple form in the bundle- Change from TCS form doesn’t go to  NAF form  "
"NAP-7868","Frontend - Default the PIN for eSign","NAP-8825","Default pin for esign not working in lazerapp"
"NAP-7566","Add/Delete Riders- Front End","NAP-8779","NAP-7566- Add/Delete Riders-Front End-Year missing from calendar when “Add new Rider”"
"NAP-7566","Add/Delete Riders- Front End","NAP-8785","NAP-7566-Add/Delete Riders-Front end-TCS-Variable Annuity Form transaction tab- there are no choices for Name of Carrier or Name of Product. This is true for all realms"
"NAP-6761","Trigger Firelight from Forms Directory","NAP-8174","NAP-6761 Trigger Firelight from form directory-error contacting Firelight for NFBS"
"NAP-6761","Trigger Firelight from Forms Directory","NAP-8204","NAP-6761-Trigger Firelight from Form Directory-CG Firelight is not Triggered when i use Firelight Products"
"NAP-6761","Trigger Firelight from Forms Directory","NAP-8205","TCS-Variable Annuity Form for CG Missing Carrier companies"
"NAP-6394","CG-Validations ::  for UIT Investment Trust Disclosure form","NAP-8837","NAP-6394_CG UIT Investment Trust Disclosure form is missing information"
"NAP-5997","CG :: Add Required Form :: TIMS I Client Agreement","NAP-8079","NAP-5997-CG:: Add Required form:TIMS I client Agreement-Missing required Forms"
"NAP-5997","CG :: Add Required Form :: TIMS I Client Agreement","NAP-8798","NAP-5997-CG:: Add Required form:Missing Account Type Disclosure Form from paths Collateral>Advisory>TIMSI"
"NAP-5894","CG- Create TIMS II Client Agreement FORM","NAP-7861","NAP-5894-CG- Create TIMS II Client Agreement FORM-missing Required Form"
"NAP-5894","CG- Create TIMS II Client Agreement FORM","NAP-7930","NAP-5894-CG- Create TIMS II Client Agreement FORM-Account Type Disclosure Form & TIMS Client Profile"
"NAP-5136","CG -  Form Variation - Trusted Contact Authorization","NAP-7827","NAP5136 -  CG -  Entity - Corporation application forms did not launch"
"NAP-5136","CG -  Form Variation - Trusted Contact Authorization","NAP-7834","NAP 5136  CG -  Account forms for  ""Collateral""  did not launch."
"NAP-5136","CG -  Form Variation - Trusted Contact Authorization","NAP-7836","NAP5136  Account forms for CG - 529 do not launch.  (Only in Non-Advisory - Pershing and Direct.)"
"NAP-5136","CG -  Form Variation - Trusted Contact Authorization","NAP-7839","NAP 5136 Account forms for CG - ""Guardianship"" for did not launch"
"NAP-5136","CG -  Form Variation - Trusted Contact Authorization","NAP-7830","NAP 5136 CG - Account forms for CG - ""Transfer-on-Death"" did not launch for two versions"
"NAP-4781","CG Form Variations- Investment Club Account Agreement Form","NAP-7500","NAP-4781-CG Form Variations -Investment Club Account-replace all CADARETGRANT with Cadaret, Grant & Co. and delete a phrase"
"NAP-4781","CG Form Variations- Investment Club Account Agreement Form","NAP-7968","NAP-4781- CG Form Variations- Investment Club Account Agreement Form-Paths are missing"
"NAP-4777","CG Form Variations- Systematic Withdrawal Program (SWP) Form","NAP-7670","NAP-4777- CG Form Variations- Systematic Withdrawal Program (SWP) Form-ACH authorization tab change all CADARET GRANT references to Cadaret, Grant & Co., Inc. "
"NAP-4777","CG Form Variations- Systematic Withdrawal Program (SWP) Form","NAP-8718","NAP-4777-CG Form Variation-Systematic Withdrawal Program(SWP) form-Is not available under “Associated Optional Form” for certain paths"
"NAP-4360","CG -  Form Variation - Foreign Spplement NAF","NAP-8002","NAP-4360  CG- Foreign Supplement NAF - Missing from Bundle selection"
"NAP-4360","CG -  Form Variation - Foreign Spplement NAF","NAP-7330","Account Type Fields are not mapping in Laser App - Account App - Foreign Citizen Form"
"NAP-3882","CG-Validations for Account Type Disclosure form   ","NAP-7778","NAP-3882 Joint client in Signature Tab not prefilled"
"NAP-3881","CG- Create Account Type Disclosure form","NAP-7596","Form not under Associated optional forms"
"NAP-3881","CG- Create Account Type Disclosure form","NAP-9225","nap-3881: CG- Create Account Type Disclosure form: Form does not show under Non Qualified Deferred Compensation or Collateral Registration Type paths"
"NAP-3729","CG- Form Variations-IRA Distribution Request Pershing form(Existing for CFS) ","NAP-7502","NAP-3729-CG-Form Variations-IRA Distribution Request Pershing form(existing for CFS)- remove phrase from form"
"NAP-3729","CG- Form Variations-IRA Distribution Request Pershing form(Existing for CFS) ","NAP-8643","NAP-3729 CG-Form Variation-IRA Distribution Request Pershing form(existing for CFS)- In the ""Signature""tab replace  CADARET GRANT with  Cadaret, Grant & Co., Inc."
"NAP-3448","CG- Form Variations-Individual (Full Service) form(Existing for CFS) ","NAP-7655","NAP-3448 - Account Application, Individual - Full Service - profile section and "
"NAP-3448","CG- Form Variations-Individual (Full Service) form(Existing for CFS) ","NAP-8510","NAP-3448 - Account Application, Individual - Full Service - Account Type tab- Direct Company other not saving"
"NAP-3448","CG- Form Variations-Individual (Full Service) form(Existing for CFS) ","NAP-9285","nap-3448: CG- Form Variations-Individual (Full Service) form(Existing for CFS) (Registration Tab) (Agreements Section lists SPF instead of Cadaret Grant)"
"NAP-3448","CG- Form Variations-Individual (Full Service) form(Existing for CFS) ","NAP-9286","nap-3448: CG- Form Variations-Individual (Full Service) form(Existing for CFS) (Profile Tab) (Trusted Contact Section not updated per change doc.)"
"NAP-3448","CG- Form Variations-Individual (Full Service) form(Existing for CFS) ","NAP-7711","NAP-3448 - Account Application, Individual - Full Service - Agreement Tab has CFS instead of CG"
